ID,SalePrice
2658,123328.8845479734
2718,170114.3258415564
2414,222074.84973130646
1989,93130.47766409745
625,175896.83146474545
333,105559.10496517178
1327,100938.68908697083
858,157898.57456203323
95,176883.3092577072
1568,162557.6623707702
2482,148736.90854774986
1364,113787.27876413007
2584,163323.13541147174
818,266890.97679223533
2673,145386.21478761995
2089,122902.88426299646
1297,138966.5111167162
790,118350.84608062055
2616,185047.210320587
720,186757.8426832624
222,166507.93945945433
557,127101.81611824283
1148,195109.04033567978
2766,165794.856026788
534,174453.14062736748
1452,130781.70350652859
630,148211.6236688225
2648,119668.23235532828
125,160764.54623294953
1904,61689.79630476452
1670,113605.22311116155
756,92865.98026755576
717,175514.60658554558
1032,151823.8813267266
852,220852.61411737942
1731,179662.3047260483
2639,97872.93817071599
2071,81998.55183678381
1267,118973.26063148738
1851,191172.13526219566
567,166377.67237301078
2439,214043.0805025071
1898,153319.64357038008
647,160140.23651016108
2256,231268.17615561848
979,105801.44402594928
1444,224021.14414710455
2485,124743.81601311063
157,134633.77152864094
88,117980.56454200554
2003,110492.9398107405
186,173845.95193872738
1425,253535.61493379954
2695,123040.19051659174
738,111228.41914545116
395,161301.6965922765
1353,155090.22638191073
1878,153907.9907027137
390,163183.6605719481
1456,233970.23344514435
1103,319369.8656263251
1387,132401.271891251
2070,147193.94531471
1199,165925.57521306403
2479,166831.17920239875
501,321860.26517939754
2362,100112.32388792274
1718,195365.8025100456
2188,89082.02073679252
1483,154575.62415355994
2557,91345.19171364323
437,370444.63941770454
2224,179394.70642732424
1628,157546.17109178763
397,139125.63358123848
587,192691.28653973222
971,127215.03861073295
2611,151603.22635402603
1887,99631.03235697742
2399,335004.33615750517
2148,196654.1933849044
304,119492.34889794535
1997,142425.62536788938
2817,127003.5099329542
1431,198217.04410472946
427,313781.19030099217
263,130542.1599815149
598,166164.42629424174
2895,233546.84817156525
687,139275.37892775954
1822,144128.0659326297
2191,103531.47180209856
179,109710.63614640321
1009,231426.42060041285
2010,127791.71685922492
1991,144529.55081355324
1411,157894.32802158018
1721,254925.3890869962
1144,178014.81080387018
593,213170.7946539218
575,306212.86246460764
1249,157116.204258504
1604,135005.84669222287
1064,461502.04753815866
1923,159330.0676452567
1988,98231.33180919562
2325,174225.22605332293
114,194269.78210498998
2700,179040.1160116437
217,129375.26627343532
343,171494.77840538454
386,227757.26118297002
2005,107230.91567146723
2908,126818.97207478987
1814,231677.38932675455
2446,559624.1960243697
208,138253.44223183455
1679,114509.85435244406
822,332438.0427409971
6,196200.39701615027
1781,392795.58927703375
2397,295644.0525598056
2340,304993.42006951413
1618,167167.71071331418
2843,122962.74912501959
1061,373203.1483358491
2786,128858.4227070681
1935,141836.52819570233
1341,131414.6335936223
521,268015.4060173538
2136,138726.87663610018
996,194098.48869412203
227,133114.3104819555
135,174341.10641705542
1167,167238.05711191133
294,223114.94432166519
1776,193689.85878623376
540,158503.25253918662
1717,212753.29190458782
2303,123016.14808560474
116,189538.01444689627
127,150514.55532143032
1371,137209.20984814354
1014,163802.17746607933
1507,97302.5645600245
702,121919.11929584801
750,142181.0771104161
261,154008.3185046826
1559,88363.5401815434
577,205084.2390813629
2812,194063.871219161
2080,156429.22528268807
1368,111729.27933734063
2376,134974.07963391303
659,100171.89685067693
1235,133481.7120226504
332,87960.9926043059
1917,144965.8708625465
2094,234369.68738124505
1460,247564.48004746396
1471,217790.92761442618
1509,125331.79377847975
1922,134417.5030783869
433,488658.82677419065
460,259259.7534225472
1116,238798.72356241636
1137,159356.9717169334
53,178336.53278883777
2354,271934.5442389977
1475,201609.61792128996
1761,646958.3185936117
842,140550.0543432207
2739,187874.89616892106
2509,165403.32702070446
1007,200752.6078768274
2610,168402.48633399152
1952,89742.9315104498
2719,171546.99012387937
2921,102520.81059972785
1966,130337.1351926403
292,125625.13382995968
1204,198179.32042213163
1829,263452.63402050035
2419,192254.75506864281
391,147052.9236063924
798,114170.06406107535
481,212607.6062066369
193,181889.12127465993
555,126287.82721779404
899,67904.23832681577
2357,179838.84665995094
328,144717.07154424465
1356,111505.17720359299
1154,113196.25769662591
1730,189258.06170984206
2249,156146.19781499403
1119,278961.6325349311
2856,137108.76904801777
1394,126144.8154432743
2587,121109.14404861853
61,276911.1315462054
2661,183328.5733004122
2711,135363.25651745487
1147,173251.84579639835
757,140302.18132824975
2623,89592.10440311731
2378,161460.07587601463
1413,135539.03549534822
1722,234370.78259245958
1112,210120.20660380722
1623,191517.48729253173
1201,187127.67919176896
1513,109668.24534555174
957,281786.5589998615
1171,282041.920732195
1145,183454.87025763706
2726,216482.36255971072
703,138868.96754920328
760,99121.11153883087
1964,145574.0623679008
2512,187687.07794836094
159,141250.1269028323
1281,165148.3553548204
468,188340.55681782425
290,116928.93285454072
